processing_id,waste_classification_id,processing_method,processing_description,cost,created_at,updated_at
281,1,Recycling,"Plastic waste is cleaned, shredded, and remolded into reusable plastic pellets.",1200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
282,2,Composting,"Organic matter decomposed under controlled aerobic conditions to produce compost.",450.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
283,3,"Paper Recycling","Paper waste is pulped and processed into recycled paper products.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
284,4,"Glass Reuse","Glass is melted and reshaped into new bottles and containers.",950.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
285,5,"Metal Recovery","Metal scraps melted and refined for reuse in manufacturing.",1800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
286,6,"E-Waste Dismantling","Electronic waste dismantled for metal and component recovery.",2500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
287,7,Incineration,"Hazardous waste safely incinerated at high temperatures.",4000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
288,8,Autoclaving,"Biomedical waste sterilized using steam and pressure.",2200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
289,9,"Crushing & Landfilling","Construction debris crushed and used as landfill filler.",600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
290,10,"Sludge Drying","Industrial sludge dewatered and dried for safe disposal.",950.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
291,11,"Plastic Granulation","Plastic packaging shredded and converted to granules.",1300.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
292,12,Bio-digestion,"Agricultural waste converted into biogas and compost.",550.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
293,13,"Rubber Reprocessing","Used rubber processed into reclaimed rubber sheets.",1600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
294,14,"Wood Chipping","Wood scraps converted into mulch and wood chips.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
295,15,"Textile Recycling","Textiles shredded and reused for insulation materials.",1000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
296,16,"Battery Neutralization","Used batteries chemically treated to neutralize acids.",3200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
297,17,"Chemical Treatment","Industrial chemicals neutralized before disposal.",2800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
298,18,"Oil Refining","Used oils filtered and refined for reuse as lubricants.",1500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
299,19,"Anaerobic Digestion","Food waste decomposed anaerobically to produce methane.",480.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
300,20,"Film Recycling","Plastic films cleaned, shredded, and melted for reuse.",950.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
301,21,"Foam Reprocessing","Foam crushed and repurposed for packaging material.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
302,22,"Thermal Destruction","Toxic waste treated using controlled combustion.",4200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
303,23,"Municipal Composting","Mixed organic waste processed into city compost.",500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
304,24,Vermicomposting,"Green waste decomposed using earthworms for compost.",420.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
305,25,"Drug Incineration","Expired pharmaceuticals destroyed in incinerators.",3100.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
306,26,"Paint Solidification","Paint residues mixed with absorbents for safe disposal.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
307,27,"Chemical Neutralization","Cleaning chemical waste neutralized using reagents.",1200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
308,28,"Sharps Destruction","Medical sharps melted or encapsulated for safe disposal.",2500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
309,29,"Bottle Recycling","Plastic bottles crushed and reformed into new containers.",1000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
310,30,"Fabric Reuse","Textile scraps reused for padding and upholstery.",850.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
311,31,"Leather Reconditioning","Leather waste processed into bonded leather.",1600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
312,32,"Plastic Melting","Plastic cups melted and reshaped for reuse.",950.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
313,33,"Bag Reprocessing","Plastic bags shredded and reprocessed into pellets.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
314,34,"PET Recycling","PET bottles shredded and melted for reuse.",1200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
315,35,"PVC Recovery","PVC waste cleaned and recycled into flooring material.",1400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
316,36,"Polypropylene Recycling","Recycled into industrial plastic components.",1250.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
317,37,"Organic Composting","Organic waste converted into natural fertilizer.",480.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
318,38,Mulching,"Garden waste shredded for landscaping mulch.",400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
